		ndcg	pak	apk	map	no gt precision	no gt recall
Paclitaxel	bm25	1.0	1.0	1.0	0.8710000000000001	0.8846153846153846	0.5227272727272726	
	vsm	1.0	1.0	1.0	0.8543333333333333	0.8846153846153846	0.5227272727272726	
	class-match-measure	1.0	1.0	1.0	0.8543333333333333	0.8846153846153846	0.5227272727272726	
	tf_idf	1.0	1.0	1.0	0.9	0.8846153846153846	0.5227272727272726	
	boolean	1.0	1.0	1.0	0.8710000000000001	0.8846153846153846	0.5227272727272726	
	zooma	0.6131471927654585	0.5	0.5	0.44222222222222224	0.9230769230769231	0.2727272727272727	
	bioportal	1.0	1.0	1.0	0.951	0.8846153846153846	0.5227272727272726	
	solr	1.0	1.0	1.0	0.8154444444444444	0.8846153846153846	0.5227272727272726	
	ols	1.0	1.0	1.0	0.9800000000000001	0.8846153846153846	0.5227272727272726	
	semantic-similarity	1.0	1.0	1.0	0.876	0.8846153846153846	0.5227272727272726	
	pagerank	1.0	1.0	1.0	0.9	0.8846153846153846	0.5227272727272726	
	
Carboplatin	bm25	1.0	1.0	1.0	0.8710000000000001	0.8846153846153846	0.5227272727272726	
	vsm	1.0	1.0	1.0	0.8543333333333333	0.8846153846153846	0.5227272727272726	
	class-match-measure	1.0	1.0	1.0	0.8543333333333333	0.8846153846153846	0.5227272727272726	
	tf_idf	1.0	1.0	1.0	0.9	0.8846153846153846	0.5227272727272726	
	boolean	1.0	1.0	1.0	0.8710000000000001	0.8846153846153846	0.5227272727272726	
	zooma	0.6131471927654585	0.5	0.5	0.44222222222222224	0.9230769230769231	0.2727272727272727	
	bioportal	1.0	1.0	1.0	0.951	0.8846153846153846	0.5227272727272726	
	solr	1.0	1.0	1.0	0.8154444444444444	0.8846153846153846	0.5227272727272726	
	ols	1.0	1.0	1.0	0.9800000000000001	0.8846153846153846	0.5227272727272726	
	semantic-similarity	1.0	1.0	1.0	0.876	0.8846153846153846	0.5227272727272726	
	pagerank	1.0	1.0	1.0	0.9	0.8846153846153846	0.5227272727272726	
	
MYH7	bm25	1.0	1.0	1.0	0.8710000000000001	0.8461538461538461	0.3235294117647058	
	vsm	1.0	1.0	1.0	0.8543333333333333	0.8461538461538461	0.3235294117647058	
	class-match-measure	1.0	1.0	1.0	0.8543333333333333	0.8461538461538461	0.3235294117647058	
	tf_idf	1.0	1.0	1.0	0.9	0.8461538461538461	0.3235294117647058	
	boolean	1.0	1.0	1.0	0.8710000000000001	0.8461538461538461	0.3235294117647058	
	zooma	0.0	0.0	0.0	0.44222222222222224	0.07692307692307693	0.029411764705882346	
	bioportal	1.0	1.0	1.0	0.951	0.8461538461538461	0.3235294117647058	
	solr	1.0	1.0	1.0	0.8154444444444444	0.8461538461538461	0.3235294117647058	
	ols	1.0	1.0	1.0	0.9800000000000001	0.8461538461538461	0.3235294117647058	
	semantic-similarity	1.0	1.0	1.0	0.876	0.8461538461538461	0.3235294117647058	
	pagerank	1.0	1.0	1.0	0.9	0.8461538461538461	0.3235294117647058	
	
