		ndcg	pak	apk	map	no gt precision	no gt recall
	vsm	0.6309297535714574	0.0	0.0	0.1	0.8461538461538461	0.3333333333333332	
	class-match-measure	0.6309297535714574	0.0	0.0	0.0	0.8461538461538461	0.3333333333333332	
	tf_idf	1.0	1.0	1.0	0.21000000000000002	0.8461538461538461	0.3333333333333332	
	boolean	0.6309297535714574	0.0	0.0	0.0	0.8461538461538461	0.3333333333333332	
	zooma	0.0	0.0	0.0	0.4866666666666667	NaN	0.0	
	bioportal	1.0	1.0	1.0	0.951	0.8461538461538461	0.3333333333333332	
	solr	1.0	1.0	1.0	0.8154444444444444	0.8461538461538461	0.3333333333333332	
	ols	1.0	1.0	1.0	0.9800000000000001	0.8461538461538461	0.3333333333333332	
	semantic-similarity	0.6309297535714574	0.0	0.0	0.0	0.8461538461538461	0.3333333333333332	
	pagerank	1.0	1.0	1.0	0.21000000000000002	0.8461538461538461	0.3333333333333332	
	
